hospital_id,nombre,comuna,camas_2024,camas_uci_uti_2024,demanda_media_diaria_gr,distancia_km_aprox,tiempo_traslado_min_aprox,tau_dias,capacidad_K_bolsas
H01,Complejo Hospitalario Dr. Sotero del Rio,Puente Alto,733,201,26.5,22,70,0.0486,164
H02,Hospital Barros Luco Trudeau,San Miguel,682,131,24.5,8,32,0.0222,155
H03,Hospital San Juan de Dios,Santiago,542,134,20.0,6,25,0.0174,135
H04,Hospital Clinico San Borja Arriaran,Santiago,449,127,17.0,5,22,0.0153,122
H05,Hospital Clinico Metropolitano El Carmen,Maipu,451,88,16.0,17,55,0.0382,117
H06,Hospital Del Salvador de Santiago,Providencia,347,70,12.5,7,28,0.0194,101
H07,Hospital Clinico Metropolitano La Florida,La Florida,397,83,14.0,16,48,0.0333,108
H08,Hospital Padre Alberto Hurtado,San Ramon,371,53,11.5,12,40,0.0278,97
